@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureKNN numeric

@data

sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,372,191,165,26,0,86.387435,13.612565,0,0.643145,0.138023,0.367993,36.053349,84.25996,156.909725,223.837309,-66.927584,0.821517,1.171923,-0.350406,94.502828,0.494779,11444.117275,0.734694,36,0.091549,13,0.908451,129,0.265306,13,0.734694,0.734694,0.734694,0.819776,0.863874,0.22073,0.77927,0.136126,0.863874,0.863874,0.863874,0.819776,0,0.107,0,0.1,928698,916708,487195,?,?
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,1,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,372,191,148,43,0,77.486911,22.513089,0,0.397741,0.226533,0.473266,59.173505,108.364492,156.909725,371.635155,-214.72543,0.821517,1.945734,-1.124217,54.177025,0.283649,6560.737255,0.530612,26,0.140845,20,0.859155,122,0.469388,23,0.565217,0.530612,0.547368,0.700848,0.774869,0.385102,0.614898,0.225131,0.770531,0.774869,0.772491,0.700848,0,0.347,0,0.35,928706,916708,487195,?,1
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,2,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,372,191,156,35,0,81.675393,18.324607,0,0.522807,0.184814,0.42695,48.27595,97.759648,156.909725,300.703394,-143.793669,0.821517,1.574363,-0.752846,73.172353,0.383101,8861.036198,0.653061,32,0.126761,18,0.873239,124,0.346939,17,0.64,0.653061,0.646465,0.778385,0.816754,0.290453,0.709547,0.183246,0.818008,0.816754,0.817356,0.778385,0,0.369,0,0.37,928698,916708,487195,?,1
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,3,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,372,191,153,38,0,80.104712,19.895288,0,0.432969,0.200505,0.444886,52.374461,101.866417,156.909725,327.34533,-170.435605,0.821517,1.71385,-0.892333,66.036496,0.345741,7996.897264,0.489796,24,0.091549,13,0.908451,129,0.510204,25,0.648649,0.489796,0.55814,0.706166,0.801047,0.4028,0.5972,0.198953,0.789172,0.801047,0.7912,0.706166,0,0.367,0,0.37,928698,916708,487195,?,1
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,4,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,371,192,167,25,0,86.979167,13.020833,0,0.6456,0.132115,0.359923,34.537378,82.550236,157.347383,216.189718,-58.842335,0.819518,1.125988,-0.30647,97.378016,0.507177,11777.310536,0.693878,34,0.06993,10,0.93007,133,0.306122,15,0.772727,0.693878,0.731183,0.806194,0.869792,0.245844,0.754156,0.130208,0.866512,0.869792,0.86741,0.806194,0,0.361,0,0.36,926325,914335,489568,?,1
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,5,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,372,191,151,40,0,79.057592,20.942408,0,0.458233,0.210897,0.456477,55.088978,104.520399,156.909725,346.99642,-190.086695,0.821517,1.816735,-0.995218,61.298101,0.320932,7423.086304,0.612245,30,0.147887,21,0.852113,121,0.387755,19,0.588235,0.612245,0.6,0.731604,0.790576,0.326218,0.673782,0.209424,0.793466,0.790576,0.791928,0.731604,0,0.359,0,0.35,928698,916708,487195,?,1
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,6,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,371,192,155,37,0,80.729167,19.270833,0,0.482668,0.194321,0.437878,50.79944,100.429653,157.347383,320.659608,-163.312225,0.819518,1.670102,-0.850585,68.927856,0.358999,8336.427492,0.591837,29,0.118881,17,0.881119,126,0.408163,20,0.630435,0.591837,0.610526,0.719852,0.807292,0.334336,0.665664,0.192708,0.803658,0.807292,0.805249,0.719852,0,0.357,0,0.35,926325,914335,489568,?,1
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,7,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,371,192,154,38,0,80.208333,19.791667,0,0.486197,0.199471,0.443723,51.980734,101.105218,158.862597,327.202002,-168.339405,0.827409,1.704177,-0.876768,67.711726,0.352665,8229.869852,0.62,31,0.133803,19,0.866197,123,0.38,19,0.62,0.62,0.62,0.747042,0.802083,0.315886,0.684114,0.197917,0.802083,0.802083,0.802083,0.747042,0,0.347,0,0.34,926325,914335,489568,?,1
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,8,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,372,191,144,47,0,75.39267,24.60733,0,0.383744,0.24738,0.494807,64.618944,113.296865,156.909725,407.217173,-250.307448,0.821517,2.132027,-1.31051,44.682891,0.233942,5411.015282,0.591837,29,0.190141,27,0.809859,115,0.408163,20,0.517857,0.591837,0.552381,0.703076,0.753927,0.352231,0.647769,0.246073,0.766167,0.753927,0.75902,0.703076,0,0.356,0,0.35,928698,916708,487195,?,1
sounds-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0,9,weka.classifiers.lazy.IBk,'-K 10 -W 0 -X -E -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20150922.1849,372,191,156,35,0,81.675393,18.324607,0,0.473912,0.184849,0.426956,48.285061,97.760939,156.909725,301.296054,-144.386329,0.821517,1.577466,-0.755949,73.162721,0.383051,8859.86978,0.510204,25,0.077465,11,0.922535,131,0.489796,24,0.694444,0.510204,0.588235,0.727867,0.816754,0.384015,0.615985,0.183246,0.806496,0.816754,0.806751,0.727867,0,0.365,0,0.36,928698,916708,487195,?,1
